id,customer_code,name,address_line1,address_line2,address_line3,address_line4,postcode,phone_number,country_code,category,currency,pod_on_portal,invoice_on_portal,handheld_status_on_portal,eta_status_on_portal,general_status_on_portal,status,vat_number,payment_terms,created_at,updated_at,is_deleted
113,TRI001,TRIPAK (SERVICES) LTD,ROAD 3 WINSFORD IND EST,.,Winsford,Cheshire,CW7 3PD,01606 861 707,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
114,CRU001,The Crucial Sauce Company,31 DOLLMAN STREET,UNIT 1A AND B,Birmingham,West Midlands,B7 4RP,01213 333233,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
115,TIG001,Tiger Trailers Ltd,16 Road One,Winsford Industrial Estate,Winsford,Cheshire,CW7 3RL,01606 339640,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
116,UNL001,UNETTE NUTRITION LTD,UNIT 1A,AVRO HOUSE,Nantwich,Cheshire,CW5 6HT,01270 668886,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
117,VAL001,VALENTTE LTD,Artis Road,Unit 9 Artis Road,Winsford,Cheshire,CW7 3SE,07375026128,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
118,VIN001,VINYL DECALS DIRECT LTD,UNIT 4 ENTERPRISE BUSINESS PARK,LINDEN WAY,Coalville,Leicestershire,LE67 3RL,01530 448705,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
119,VIV001,VIVE HEALTH LLC,8955,FONTANA DEL SOL WAY,.,.,34109,239 248 8658,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
120,WAR004,WAREHOUSE ONE DISTRIBUTION LTD,ROAD ONE,WINSFORD,Winsford,Cheshire,CW7 3RA,01606 869696,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
121,WEE001,WEETWOOD ALES,THE BREWERY,COMMON LANE,Tarporley,Cheshire,CW6 0PY,01829 707940,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
122,WIL001,WILDING SNACKS LTD,UNIT 7B BRYDGES COURT,CASTLEDOWN ROAD,Andover,Hampshire,SP11 9FT,7500115635,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
